Klasse;Stunde;Lernbereich;Thema;Modul-ID;Schüler-Modul;Lehrer-Vorbereitung;Alter Dateiname
5;1;Sprechen und Zuhören;Ankommen im Deutschunterricht: Vorwissen und Positionen klären;de_k5_st01_ankommen_einstieg;schueler/de_k5_st01_ankommen_einstieg_app.html;lehrer/de_k5_st01_ankommen_einstieg_orga.html;de_05_ankommen_001_einstieg.html
5;2;Lesen/Umgang mit Texten;Ankommen im Deutschunterricht: Quellen und Materialien erschließen;de_k5_st02_ankommen_quellen;schueler/de_k5_st02_ankommen_quellen_app.html;lehrer/de_k5_st02_ankommen_quellen_orga.html;de_05_ankommen_002_quellen.html
5;3;Lesen/Umgang mit Texten;Ankommen im Deutschunterricht: Qualitätskriterien anwenden;de_k5_st03_ankommen_kriterien;schueler/de_k5_st03_ankommen_kriterien_app.html;lehrer/de_k5_st03_ankommen_kriterien_orga.html;de_05_ankommen_003_kriterien.html
5;4;Lesen/Umgang mit Texten;Ankommen im Deutschunterricht: Darstellungen vergleichen;de_k5_st04_ankommen_vergleichen;schueler/de_k5_st04_ankommen_vergleichen_app.html;lehrer/de_k5_st04_ankommen_vergleichen_orga.html;de_05_ankommen_004_vergleichen.html
5;5;Schreiben;Ankommen im Deutschunterricht: Informationen prüfen und ordnen;de_k5_st05_ankommen_recherche;schueler/de_k5_st05_ankommen_recherche_app.html;lehrer/de_k5_st05_ankommen_recherche_orga.html;de_05_ankommen_005_recherche.html
5;6;Schreiben;Ankommen im Deutschunterricht: Produkt planen;de_k5_st06_ankommen_planen;schueler/de_k5_st06_ankommen_planen_app.html;lehrer/de_k5_st06_ankommen_planen_orga.html;de_05_ankommen_006_planen.html
5;7;Schreiben;Ankommen im Deutschunterricht: Produkt erstellen;de_k5_st07_ankommen_erstellen;schueler/de_k5_st07_ankommen_erstellen_app.html;lehrer/de_k5_st07_ankommen_erstellen_orga.html;de_05_ankommen_007_erstellen.html
5;8;Sprechen und Zuhören;Ankommen im Deutschunterricht: Präsentieren und reflektieren;de_k5_st08_ankommen_reflexion;schueler/de_k5_st08_ankommen_reflexion_app.html;lehrer/de_k5_st08_ankommen_reflexion_orga.html;de_05_ankommen_008_reflexion.html
5;49;Lesen/Umgang mit Texten;Gegenstände, Tiere und Vorgänge beschreiben: Beispieltexte untersuchen;de_k5_st49_beschreiben_beispiel;schueler/de_k5_st49_beschreiben_beispiel_app.html;lehrer/de_k5_st49_beschreiben_beispiel_orga.html;de_05_beschreiben_049_beispiel.html
5;50;Schreiben;Gegenstände, Tiere und Vorgänge beschreiben: Schreibziel und Kriterien klären;de_k5_st50_beschreiben_kriterien;schueler/de_k5_st50_beschreiben_kriterien_app.html;lehrer/de_k5_st50_beschreiben_kriterien_orga.html;de_05_beschreiben_050_kriterien.html
5;51;Lesen/Umgang mit Texten;Gegenstände, Tiere und Vorgänge beschreiben: Inhalte auswählen und ordnen;de_k5_st51_beschreiben_inhalte_ordnen;schueler/de_k5_st51_beschreiben_inhalte_ordnen_app.html;lehrer/de_k5_st51_beschreiben_inhalte_ordnen_orga.html;de_05_beschreiben_051_inhalte_ordnen.html
5;52;Sprache untersuchen;Gegenstände, Tiere und Vorgänge beschreiben: Passende sprachliche Mittel verwenden;de_k5_st52_beschreiben_sprachmittel;schueler/de_k5_st52_beschreiben_sprachmittel_app.html;lehrer/de_k5_st52_beschreiben_sprachmittel_orga.html;de_05_beschreiben_052_sprachmittel.html
